Variable,Coeficiente (Beta),Odds Ratio (OR)
ciclo_de_vida_PERSONA MAYOR,1.9702663804374527,7.1725868707193605
ciclo_de_vida_ADULTEZ,1.374471200386428,3.9529858327575265
ciclo_de_vida_PRIMERA INFANCIA,1.1951245710269573,3.303969323719027
regimen_P,0.8523764614633349,2.345213544402624
compromiso_renal,0.7945814405006967,2.2135143154383883
tipo_erc_limpio_SIN CLAS,0.5810114294021039,1.7878457963895193
tipo_erc_limpio_Estadio IV,0.2697283809560706,1.3096086877597444
regimen_S,0.20669707759269818,1.229610038926293
ciclo_de_vida_JOVENES,0.17221910168239493,1.1879380839349505
insuficiencia_cardiaca,0.12434893878201167,1.1324109441625851
erc_trr_limpio_Trasplante (no definido / no disponible),0.009909178360885904,1.0099584368380148
tipo_erc_limpio_Estadio V,-0.00014265241248393595,0.9998573577618877
regimen_E,-0.07373894738846976,0.9289141576587481
sexo_MASCULINO,-0.08691001326281411,0.9167595881256008
erc_trr_limpio_Hemodiálisis,-0.14244949678413402,0.8672313511584376
erc_trr_limpio_Recibe TRR (no especificada),-0.1447291058192121,0.8652566543583127
tipo_erc_limpio_Estadio III,-0.30834217501729777,0.7346638913658278
erc_trr_limpio_Prediálisis,-0.32731680821083986,0.7208553339589575
tipo_erc_limpio_Estadio II,-0.3345442857370335,0.7156641504117321
erc_trr_limpio_Registro inconsistente,-0.4198251104157488,0.6571617405091311
erc_trr_limpio_No recibe TRR,-0.5490408157081158,0.5775034770675544
cirugia_cardiaca,-0.9037923937665424,0.405030707498245
c_ncer,-1.024386190236541,0.35901676578385705
ciclo_de_vida_INFANCIA,-1.230710841866627,0.2920848777090032
hipertensi_n,-1.2824246594349793,0.27736397131617024
epoc,-1.519140352392645,0.2188999829390824
trasplantados,-1.7567205109400548,0.1726100092594021
huerfanas_hemofilias_y_otras,-2.1505060249295718,0.11642522879678649
asma,-2.3853049585889696,0.09206090053569939
artritis,-2.536510447201637,0.07914208899302001
